number,throttle,steer
1059,27,80
1060,25,80
1061,24,80
1062,24,80
1063,24,90
1064,22,90
1065,22,90
1066,25,90
1067,25,90
1068,29,90
1069,27,100
1070,25,110
1071,25,100
1072,24,90
1073,22,90
1074,20,70
1075,24,80
1076,24,80
1077,25,80
1078,27,90
1079,29,90
1080,27,90
1081,25,90
1082,25,90
1083,25,90
1084,25,90
1085,24,90
1086,22,80
1087,22,80
1088,22,80
1089,25,80
1090,29,80
1091,27,80
1092,27,90
1093,25,80
1094,25,70
1095,24,70
1096,22,80
1097,24,80
1098,29,80
1099,25,80
1100,25,90
1101,27,90
1102,27,90
1103,27,90
1104,25,90
1105,25,100
1106,24,90
1107,24,90
1108,22,90
1109,25,90
1110,29,100
1111,27,90
1112,27,90
1113,27,90
1114,25,90
1115,27,90
1116,25,80
1117,25,80
1118,25,80
1119,25,70
1120,25,70
1121,25,70
1122,25,60
1123,31,70
1124,31,80
1125,31,80
1126,29,90
1127,29,90
1128,29,90
1129,29,90
1130,29,90
1131,29,90
1132,29,90
1133,29,90
1134,33,100
1135,29,110
1136,18,100
1137,14,100
1138,11,100
1139,0,90
1140,0,90
1141,0,90
1142,0,90
1143,0,80
1144,0,70
1145,0,80
1146,0,70
1147,0,70
1148,0,70
1149,0,70
1150,0,60
1151,0,60
1152,0,70
1153,0,70
1154,11,70
1155,14,80
1156,20,80
1157,22,90
1158,24,90
1159,25,90
1160,25,90
1161,25,90
1162,25,90
1163,25,90
1164,25,90
1165,24,90
1166,25,90
1167,25,90
1168,29,90
1169,31,100
1170,29,100
1171,29,100
1172,29,100
1173,27,100
1174,27,90
1175,25,90
1176,24,70
1177,24,70
1178,25,70
1179,29,80
1180,31,80
1181,29,90
1182,29,90
1183,29,90
1184,25,90
1185,25,90
1186,27,100
1187,29,110
1188,25,110
1189,16,100
1190,12,100
1191,11,100
1192,12,90
1193,0,70
1194,0,70
1195,0,80
1196,0,80
1197,12,80
1198,0,80
1199,14,80
1200,14,70
1201,14,70
1202,11,70
1203,0,80
1204,18,80
1205,18,80
1206,12,80
1207,18,80
1208,14,80
1209,0,80
1210,0,70
1211,0,80
1212,0,80
1213,11,80
1214,12,90
1215,16,90
1216,14,80
1217,16,80
1218,18,90
1219,18,80
1220,20,80
1221,27,90
1222,25,80
1223,27,80
1224,31,90
1225,31,90
1226,29,90
1227,29,80
1228,29,70
1229,27,80
1230,20,80
1231,16,80
1232,12,80
1233,0,80
1234,0,90
1235,0,90
1236,12,90
1237,16,90
1238,20,90
1239,20,90
1240,22,90
1241,20,90
1242,22,90
1243,22,80
1244,22,80
1245,20,80
1246,27,90
1247,27,90
1248,29,90
1249,27,90
1250,27,90
1251,25,90
1252,24,90
1253,24,90
1254,24,80
1255,27,90
1256,27,90
1257,27,90
1258,24,80
1259,27,90
1260,25,90
1261,25,90
1262,24,90
1263,24,90
1264,22,80
1265,24,80
1266,22,80
1267,22,80
1268,22,80
1269,27,90
1270,29,90
1271,27,90
1272,27,90
1273,25,90
1274,25,90
1275,24,80
1276,22,80
1277,24,80
1278,29,90
1279,27,80
1280,25,80
1281,27,80
1282,27,80
1283,27,80
1284,27,80
1285,25,80
1286,24,80
1287,22,80
1288,22,80
1289,22,80
1290,22,70
1291,29,80
1292,27,80
1293,29,80
1294,27,80
1295,27,80
1296,25,90
1297,25,90
1298,24,90
1299,24,90
1300,22,90
1301,27,90
1302,14,90
1303,14,90
1304,11,90
1305,0,90
1306,12,90
1307,16,90
1308,14,90
1309,12,80
1310,12,70
1311,11,60
1312,0,70
1313,0,70
1314,12,80
1315,14,80
1316,11,80
1317,11,80
1318,12,80
1319,14,90
1320,14,110
1321,12,100
1322,16,100
1323,22,90
1324,24,100
1325,27,90
1326,27,90
1327,27,90
1328,29,90
1329,29,80
1330,27,80
1331,25,80
1332,27,80
1333,24,80
1334,20,80
1335,20,80
1336,25,90
1337,22,80
1338,24,90
1339,22,90
1340,20,90
1341,16,90
1342,14,90
1343,14,90
1344,12,80
1345,12,80
1346,11,70
1347,11,80
1348,16,80
1349,18,70
1350,16,80
1351,14,80
1352,16,80
1353,14,80
1354,14,80
1355,14,90
1356,18,90
1357,20,90
1358,16,90
1359,18,90
1360,20,90
1361,18,90
1362,18,90
1363,16,90
1364,18,90
1365,18,90
1366,14,80
1367,16,80
1368,16,80
1369,16,80
1370,20,80
1371,24,90
1372,24,90
1373,25,90
1374,25,90
1375,25,90
1376,22,80
1377,24,90
1378,22,80
1379,22,80
1380,20,80
1381,27,90
1382,27,90
1383,25,90
1384,25,90
1385,24,90
1386,22,90
1387,20,90
1388,20,90
1389,20,80
1390,18,80
1391,18,80
1392,16,80
1393,24,90
1394,25,90
1395,24,80
1396,22,70
1397,22,70
1398,20,80
1399,20,80
1400,18,80
1401,18,80
1402,18,80
1403,18,80
1404,22,90
1405,27,90
1406,24,90
1407,25,90
1408,24,90
1409,24,90
1410,20,90
1411,24,100
1412,24,100
1413,22,90
1414,22,90
1415,22,90
1416,29,100
1417,27,110
1418,27,100
1419,27,100
1420,25,90
1421,24,90
1422,25,70
1423,24,70
1424,24,70
1425,22,80
1426,29,80
1427,25,80
1428,29,80
1429,29,80
1430,27,70
1431,25,80
1432,25,80
1433,24,80
1434,24,90
1435,29,100
1436,27,90
1437,29,90
1438,29,90
1439,29,90
1440,29,80
1441,27,80
1442,27,80
1443,20,80
1444,12,80
1445,0,80
1446,0,70
1447,0,70
1448,0,70
1449,0,70
1450,0,70
1451,0,70
1452,0,80
1453,0,90
1454,0,100
1455,0,100
1456,0,90
1457,0,90
1458,0,90
1459,0,90
1460,0,90
1461,18,90
1462,22,90
1463,24,90
1464,24,90
1465,25,90
1466,24,90
1467,24,80
1468,27,80
1469,24,70
1470,31,80
1471,29,80
1472,31,80
1473,31,90
1474,27,80
1475,29,90
1476,27,90
1477,27,90
1478,25,90
1479,24,90
1480,24,90
1481,27,80
1482,24,80
1483,24,80
1484,29,80
1485,29,70
1486,27,80
1487,27,80
1488,25,80
1489,24,80
1490,24,80
1491,20,80
1492,20,90
1493,20,90
1494,20,90
1495,25,90
1496,22,90
1497,22,90
1498,18,90
1499,16,90
1500,14,90
1501,11,80
1502,0,80
1503,11,80
1504,0,70
1505,11,70
1506,12,80
1507,14,80
1508,16,80
1509,18,80
1510,20,80
1511,20,80
1512,20,80
1513,20,80
1514,22,80
1515,22,90
1516,27,90
1517,25,90
1518,29,100
1519,27,100
1520,27,100
1521,25,90
1522,25,100
1523,24,90
1524,24,90
1525,22,90
1526,20,90
1527,20,80
1528,22,80
1529,25,90
1530,27,90
1531,24,80
1532,25,80
1533,24,80
1534,24,80
1535,22,80
1536,20,80
1537,20,80
1538,24,80
1539,22,80
1540,20,90
1541,14,80
1542,12,80
1543,12,80
1544,11,80
1545,12,70
1546,11,70
1547,12,70
1548,11,80
1549,0,80
1550,0,80
1551,0,80
1552,0,70
1553,0,70
1554,0,80
1555,0,80
1556,0,80
1557,0,80
1558,11,80
1559,14,80
1560,16,80
1561,22,80
1562,20,80
1563,25,80
1564,27,90
1565,25,90
1566,27,90
1567,24,90
1568,18,90
1569,14,90
1570,12,90
1571,11,90
1572,0,90
1573,0,100
1574,14,100
1575,12,100
1576,11,90
1577,12,90
1578,14,90
1579,16,80
1580,16,80
1581,14,80
1582,16,70
1583,16,70
1584,16,80
1585,20,80
1586,22,80
1587,24,80
1588,24,80
1589,24,80
1590,24,90
1591,22,100
1592,22,100
1593,22,90
1594,20,90
1595,20,90
1596,27,90
1597,27,90
1598,27,90
1599,27,90
1600,25,90
1601,24,80
1602,24,80
1603,22,80
1604,20,80
1605,22,80
1606,24,80
1607,22,80
1608,25,80
1609,27,70
1610,25,70
1611,24,80
1612,25,80
1613,22,80
1614,20,80
1615,18,80
1616,25,80
1617,20,80
1618,22,90
1619,20,90
1620,20,90
1621,14,100
1622,14,90
1623,11,90
1624,11,90
1625,14,90
1626,14,80
1627,16,80
1628,16,80
1629,18,80
1630,22,70
1631,27,80
1632,27,80
1633,29,80
1634,29,80
1635,27,80
1636,27,80
1637,27,100
1638,27,90
1639,25,90
1640,25,90
1641,29,90
1642,29,80
1643,25,80
1644,24,80
1645,20,80
1646,16,80
1647,12,80
1648,11,80
1649,12,90
1650,11,90
1651,16,90
1652,16,90
1653,16,100
1654,14,100
1655,14,100
1656,12,100
1657,14,100
1658,14,90
1659,16,90
1660,16,90
1661,22,80
1662,18,70
1663,22,80
1664,25,80
1665,24,80
1666,24,80
1667,25,90
1668,24,90
1669,24,90
1670,18,90
1671,14,100
1672,12,90
1673,11,90
1674,14,100
1675,16,100
1676,14,90
1677,20,90
1678,20,90
1679,18,90
1680,20,90
1681,18,90
1682,18,90
1683,18,90
1684,18,90
1685,18,100
1686,25,100
1687,24,100
1688,22,100
1689,20,90
1690,22,90
1691,20,90
1692,20,90
1693,20,90
1694,20,90
1695,22,90
1696,25,100
1697,24,100
1698,27,100
1699,25,100
1700,24,100
1701,22,90
1702,24,90
1703,22,100
1704,22,100
1705,16,100
1706,11,90
1707,0,90
1708,12,90
1709,20,90
1710,20,90
1711,20,90
1712,22,90
1713,20,90
1714,16,90
1715,14,90
1716,12,70
1717,12,70
1718,11,80
1719,11,70
1720,18,80
1721,14,80
1722,16,80
1723,12,100
1724,12,100
1725,12,90
1726,12,90
1727,14,90
1728,16,90
1729,16,90
1730,16,90
1731,24,90
1732,25,90
1733,24,90
1734,24,90
1735,25,90
1736,22,90
1737,22,90
1738,18,90
1739,16,90
1740,12,80
1741,16,90
1742,14,90
1743,16,90
1744,14,90
1745,0,90
1746,0,90
1747,0,90
1748,0,90
1749,0,90
1750,0,80
1751,0,80
1752,0,80
1753,0,90
1754,0,90
1755,0,90
1756,0,90
1757,0,90
1758,0,80
1759,11,80
1760,14,90
1761,14,90
1762,18,90
1763,16,90
1764,14,90
1765,11,80
1766,0,80
1767,0,90
1768,0,90
1769,0,90
1770,0,90
1771,0,90
1772,0,90
1773,0,90
1774,0,90
1775,0,90
1776,0,90
1777,0,80
1778,0,80
1779,0,80
1780,0,80
1781,0,90
1782,0,90
1783,0,90
1784,0,90
1785,0,90
1786,0,90
1787,0,90
1788,0,80
1789,0,80
1790,0,80
1791,0,80
1792,0,90
1793,0,90
1794,0,90
1795,0,90
1796,0,90
1797,0,90
1798,0,90
1799,0,80
1800,0,80
1801,0,90
1802,0,90
1803,0,90
1804,0,80
1805,0,80
1806,0,90
1807,0,90
1808,0,90
1809,0,90
1810,0,80
1811,0,80
1812,0,80
1813,0,80
1814,0,90
1815,0,90
1816,0,90
1817,0,90
1818,0,90
1819,0,90
1820,0,90
1821,0,80
1822,0,80
1823,0,80
1824,0,80
1825,0,80
1826,0,90
1827,0,90
1828,0,90
1829,0,90
1830,0,90
1831,0,80
1832,0,80
1833,0,80
